Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
20MICRONS.NS,20 Microns Limited
VISESHINFO.NS,MPS Infotecnics Limited
VISHAL.NS,Vishal Fabrics Limited
VISHNU.NS,Vishnu Chemicals Limited
VISHWARAJ.NS,Vishwaraj Sugar Industries Limited
VIVIDHA.NS,Visagar Polytex Limited
VIVIMEDLAB.NS,Vivimed Labs Limited
VLSFINANCE.NS,VLS Finance Limited
VMART.NS,V-Mart Retail Limited
VOLTAMP.NS,Voltamp Transformers Limited
VOLTAS.NS,Voltas Limited
VRLLOG.NS,VRL Logistics Limited
VSSL.NS,Vardhman Special Steels Limited
VSTIND.NS,VST Industries Limited
VSTTILLERS.NS,V.S.T. Tillers Tractors Limited
VTL.NS,Vardhman Textiles Limited
WABAG.NS,VA Tech Wabag Limited
WABCOINDIA.NS,WABCO India Limited
WALCHANNAG.NS,Walchandnagar Industries Limited
WANBURY.NS,Wanbury Limited
WATERBASE.NS,The Waterbase Limited
WEALTH.NS,Wealth First Portfolio Managers Limited
WEBELSOLAR.NS,Websol Energy System Limited
WEIZMANIND.NS,Weizmann Limited
WELCORP.NS,Welspun Corp Limited
WELENT.NS,Welspun Enterprises Limited
WELINV.NS,Welspun Investments and Commercials Limited
WELSPUNIND.NS,Welspun India Limited
WENDT.NS,Wendt (India) Limited
WESTLIFE.NS,Westlife Development Limited
WHEELS.NS,Wheels India Limited
WHIRLPOOL.NS,Whirlpool of India Limited
WILLAMAGOR.NS,Williamson Magor & Co. Limited
WINDLAS.NS,Windlas Biotech Limited
WINDMACHIN.NS,Windsor Machines Limited
WIPL.NS,The Western India Plywoods Limited
WIPRO.NS,Wipro Limited
WOCKPHARMA.NS,Wockhardt Limited
WONDERLA.NS,Wonderla Holidays Limited
WORTH.NS,Worth Peripherals Limited
WSI.NS,W.S. Industries (India) Limited
WSTCSTPAPR.NS,West Coast Paper Mills Limited
XCHANGING.NS,Xchanging Solutions Limited
XELPMOC.NS,Xelpmoc Design and Tech Limited
XPROINDIA.NS,Xpro India Limited
YAARII.NS,Yaari Digital Integrated Services Limited
YESBANK.NS,Yes Bank Limited
YUKEN.NS,Yuken India Limited
ZEEL.NS,Zee Entertainment Enterprises Limited
ZEELEARN.NS,Zee Learn Limited
ZEEMEDIA.NS,Zee Media Corporation Limited
ZENITHEXPO.NS,Zenith Exports Limited
ZENITHSTL.NS,Zenith Steel Pipes & Industries Limited
ZENSARTECH.NS,Zensar Technologies Limited
ZENTEC.NS,Zen Technologies Limited
ZICOM.NS,Zicom Electronic Security Systems Limited
ZODIACLOTH.NS,Zodiac Clothing Company Limited
ZODJRDMKJ.NS,Zodiac-JRD-MKJ Limited
ZOMATO.NS,Zomato Limited
ZOTA.NS,Zota Health Care Limited
ZUARI.NS,Zuari Agro Chemicals Limited
ZUARIGLOB.NS,Zuari Global Limited
ZYDUSWELL.NS,Zydus Wellness Limited
